Date,Mkt-RF,SMB,HML,RF
1990-07-31,0.03590909090909091,0.022727272727272717,-0.015909090909090907,0.029999999999999995
1990-08-31,-0.4782608695652174,-0.08043478260869565,0.019999999999999997,0.03
1990-09-30,-0.624,0.07199999999999998,0.044,0.03
1990-10-31,0.3943478260869565,-0.31565217391304345,-0.1852173913043478,0.03
1990-11-30,-0.16636363636363638,0.06318181818181817,0.05,0.029999999999999995
1990-12-31,0.05476190476190475,-0.034761904761904765,-0.0680952380952381,0.03
1991-01-31,0.1147826086956522,-0.08521739130434781,0.018695652173913037,0.02
1991-02-28,0.43499999999999994,0.11000000000000001,0.0035000000000000005,0.02
1991-03-31,-0.10857142857142858,0.1561904761904762,-0.05285714285714285,0.02
1991-04-30,0.027727272727272722,-0.0009090909090909098,0.019999999999999997,0.02
1991-05-31,0.03217391304347826,-0.02347826086956522,0.013913043478260872,0.02
1991-06-30,-0.3105,0.06899999999999999,0.058499999999999996,0.02
1991-07-31,0.15,-0.07565217391304348,-0.01826086956521739,0.02
1991-08-31,-0.05090909090909088,0.015454545454545459,-0.026818181818181817,0.02
1991-09-30,0.13380952380952382,0.021904761904761906,-0.0047619047619047615,0.02
1991-10-31,0.05956521739130434,-0.010869565217391304,-0.06043478260869565,0.02
1991-11-30,-0.24619047619047618,0.04142857142857143,-0.0680952380952381,0.02
1991-12-31,0.2786363636363636,-0.08863636363636364,-0.11636363636363636,0.02
1992-01-31,-0.0926086956521739,0.1673913043478261,0.13391304347826088,0.01
1992-02-29,-0.0925,0.11500000000000002,0.093,0.01
1992-03-31,-0.2545454545454545,0.035454545454545454,0.12136363636363635,0.02
1992-04-30,-0.0018181818181818425,-0.0931818181818182,0.13727272727272727,0.01
1992-05-31,0.19238095238095237,0.0071428571428571435,0.030952380952380946,0.01
1992-06-30,-0.16954545454545455,0.014545454545454549,0.05045454545454546,0.01
1992-07-31,-0.023913043478260877,-0.09999999999999999,-0.058695652173913045,0.01
1992-08-31,0.11714285714285715,-0.12809523809523812,-0.07428571428571429,0.01
1992-09-30,-0.06000000000000001,-0.005454545454545449,-0.045454545454545456,0.01
1992-10-31,-0.13590909090909092,-0.01636363636363636,-0.022727272727272728,0.01
1992-11-30,0.08666666666666666,0.0,-0.08333333333333333,0.01
1992-12-31,0.03347826086956522,0.05652173913043478,0.042608695652173914,0.01
1993-01-31,0.01571428571428572,0.07523809523809524,0.15285714285714286,0.01
1993-02-28,0.0925,-0.063,0.1775,0.01
1993-03-31,0.2834782608695652,0.013478260869565216,0.07608695652173914,0.01
1993-04-30,0.19227272727272726,0.024090909090909086,0.12681818181818183,0.01
1993-05-31,0.1480952380952381,0.1980952380952381,-0.06904761904761905,0.01
1993-06-30,-0.09363636363636364,-0.04090909090909091,0.018181818181818184,0.01
1993-07-31,0.10272727272727274,-0.06909090909090908,0.060000000000000005,0.01
1993-08-31,0.195,0.03681818181818182,0.04954545454545454,0.01
1993-09-30,-0.08818181818181818,0.08318181818181819,0.012272727272727274,0.01
1993-10-31,0.05190476190476191,-0.015238095238095238,-0.039999999999999994,0.01
1993-11-30,-0.2913636363636364,0.07500000000000001,-0.005454545454545454,0.01
1993-12-31,0.1721739130434783,0.006956521739130432,0.09217391304347826,0.01
1994-01-31,0.3385714285714285,0.012380952380952392,0.13999999999999999,0.01
1994-02-28,-0.057499999999999996,0.07100000000000001,0.025500000000000002,0.01
1994-03-31,-0.1626086956521739,0.026956521739130435,0.08434782608695653,0.01
1994-04-30,0.11047619047619049,-0.008571428571428568,0.05761904761904762,0.01
1994-05-31,-0.00818181818181819,-0.06545454545454545,0.06181818181818182,0.01
1994-06-30,0.004545454545454547,-0.03227272727272727,0.05818181818181818,0.01
1994-07-31,0.05380952380952381,-0.023333333333333338,0.030476190476190476,0.01
1994-08-31,0.09217391304347826,0.0017391304347826103,-0.08130434782608696,0.02
1994-09-30,-0.13045454545454546,0.08545454545454545,-0.012727272727272728,0.02
1994-10-31,0.09999999999999998,-0.08857142857142856,-0.005714285714285713,0.02
1994-11-30,-0.23954545454545453,-0.01136363636363636,-0.014090909090909091,0.02
1994-12-31,0.035,-0.005909090909090909,-0.025909090909090913,0.02
1995-01-31,-0.10318181818181818,0.006818181818181809,0.01227272727272727,0.02
1995-02-28,0.03150000000000001,0.018999999999999996,0.016,0.02
1995-03-31,0.18130434782608695,-0.0891304347826087,-0.049999999999999996,0.02
1995-04-30,0.1325,-0.061999999999999986,0.01,0.02
1995-05-31,-0.004347826086956506,-0.008695652173913047,0.023043478260869565,0.02
1995-06-30,0.0,0.09272727272727273,-0.04045454545454546,0.02
1995-07-31,0.20285714285714285,0.029523809523809525,-0.09095238095238095,0.02
1995-08-31,-0.07608695652173914,0.09000000000000001,-0.010869565217391302,0.02
1995-09-30,0.08047619047619048,-0.056190476190476187,-0.04619047619047619,0.02
1995-10-31,-0.08772727272727272,-0.07772727272727274,-0.01681818181818182,0.02
1995-11-30,0.12000000000000001,-0.05545454545454545,-0.004090909090909092,0.02
1995-12-31,0.10142857142857142,0.011904761904761904,0.023333333333333334,0.02
1996-01-31,0.049999999999999996,-0.004782608695652178,0.03130434782608695,0.02
1996-02-29,0.030000000000000006,0.062380952380952384,-0.03,0.02
1996-03-31,0.05714285714285715,0.01666666666666667,0.005238095238095238,0.02
1996-04-30,0.12181818181818183,0.155,-0.05136363636363636,0.02
1996-05-31,0.005652173913043476,0.0965217391304348,-0.016086956521739134,0.02
1996-06-30,-0.024,-0.133,0.074,0.02
