Date,Mkt-RF,SMB,HML,RF
-0--0-91--,-0.57,0.06,0.02,0.02
-0--0-91--,-2.09,0.48,0.24,0.02
-0--0-91--,-1.27,0.37,0.25,0.02
-0--0-91--,0.59,-0.71,0.21,0.02
-0--1-91--,0.07,-0.37,-0.14,0.02
-0--1-91--,0.32,-0.46,-0.1,0.02
-0--1-91--,-1.13,-0.3,-0.13,0.02
-0--1-91--,-0.26,-0.1,-0.13,0.02
-0--1-91--,-0.95,0.74,-0.01,0.02
-0--1-91--,4.87,-2.4,-0.18,0.02
-0--1-91--,0.94,-0.57,-0.34,0.02
-0--2-91--,-0.42,0.58,0.09,0.02
-0--2-91--,-0.39,0.11,-0.13,0.02
-0--2-91--,-0.31,0.47,0.05,0.02
-0--2-91--,1.1,-0.61,-0.21,0.02
-0--2-91--,0.63,-0.16,-0.2,0.02
-0--2-91--,0.18,0.29,0.18,0.02
-0--2-91--,0.13,0.25,0.15,0.02
-0--3-91--,0.69,0.23,0.07,0.02
-0--3-91--,0.71,0.36,0.1,0.02
-0--0-91--,-0.06,0.74,0.24,0.02
-0--0-91--,1.09,0.0,0.23,0.02
-0--0-91--,1.78,-0.39,0.03,0.02
-0--0-91--,1.58,-0.19,-0.6,0.02
-0--0-91--,0.48,-0.32,0.18,0.02
-0--0-91--,0.63,-0.29,-0.09,0.02
-0--1-91--,1.38,-0.12,0.14,0.02
-0--1-91--,0.61,0.02,-0.26,0.02
-0--1-91--,0.5,0.39,-0.19,0.02
-0--1-91--,-0.19,0.57,0.15,0.02
-0--1-91--,0.28,0.06,0.33,0.02
-0--1-91--,1.37,-0.57,-0.03,0.02
-0--1-91--,-0.27,0.41,-0.13,0.02
-0--2-91--,-0.89,0.53,-0.16,0.02
-0--2-91--,0.06,0.41,-0.04,0.02
-0--2-91--,-0.38,0.4,-0.13,0.02
-0--2-91--,0.64,-0.5,0.07,0.02
-0--2-91--,-0.69,0.62,-0.03,0.02
-0--2-91--,0.35,0.02,0.11,0.02
-0--2-91--,0.43,0.41,0.25,0.02
-0--0-91--,-0.86,0.7,0.17,0.02
-0--0-91--,-0.23,0.94,0.36,0.02
-0--0-91--,1.01,0.04,-0.26,0.02
-0--0-91--,0.72,-0.16,0.41,0.02
-0--0-91--,-0.1,0.19,-0.15,0.02
-0--0-91--,-0.04,-0.04,-0.11,0.02
-0--1-91--,-0.8,0.48,0.22,0.02
-0--1-91--,0.37,-0.36,-0.12,0.02
